stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_2178_338702,,"Morawica Szkoła (nż)","",50.080203,19.755038,,,0,,,
stop_2179_338801,,"Aleksandrowice Centrum","",50.081246,19.763985,,,0,,,
stop_2179_338802,,"Aleksandrowice Centrum","",50.081208,19.76419,,,0,,,
stop_2180_338901,,"Piekary Centrum","",50.023873,19.795646,,,0,,,
stop_2180_338902,,"Piekary Centrum","",50.023524,19.796445,,,0,,,
stop_2180_338903,,"Piekary Centrum","",50.023107,19.794915,,,0,,,
stop_2181_339001,,"Nowa Wieś Szlachecka Pętla","",50.025833,19.690038,,,0,,,
stop_2181_339091,,"Nowa Wieś Szlachecka Pętla","",50.025833,19.690038,,,0,,,
stop_2182_339101,,"Nowa Wieś Szlachecka Kościół (nż)","",50.027456,19.697759,,,0,,,
stop_2182_339102,,"Nowa Wieś Szlachecka Kościół (nż)","",50.027182,19.697311,,,0,,,
stop_2183_339201,,"Nowa Wieś Szlachecka Sklep (nż)","",50.030345,19.703438,,,0,,,
stop_2183_339202,,"Nowa Wieś Szlachecka Sklep (nż)","",50.030838,19.704359,,,0,,,
stop_2184_339301,,"Nowa Wieś Szlachecka Kapliczka (nż)","",50.034014,19.711411,,,0,,,
stop_2184_339302,,"Nowa Wieś Szlachecka Kapliczka (nż)","",50.033993,19.711367,,,0,,,
stop_2185_339401,,"Czernichów Rynek","",49.987201,19.676586,,,0,,,
stop_2185_339491,,"Czernichów Rynek","",49.987178,19.676568,,,0,,,
stop_2186_339501,,"Rączna Bażanty (nż)","",50.011153,19.775366,,,0,,,
stop_2186_339502,,"Rączna Bażanty (nż)","",50.011299,19.775207,,,0,,,
stop_2187_339601,,"Rączna Remiza (nż)","",50.008,19.767507,,,0,,,
stop_2187_339602,,"Rączna Remiza (nż)","",50.008049,19.767505,,,0,,,
stop_2188_339702,,"Wołowice Remiza (nż)","",49.989722,19.727413,,,0,,,
stop_2188_339704,,"Wołowice Remiza (nż)","",49.988658,19.726892,,,0,,,
stop_2188_339705,,"Wołowice Remiza (nż)","",49.989079,19.726739,,,0,,,
stop_2188_339794,,"Wołowice Remiza (nż)","",49.989362,19.727224,,,0,,,
stop_2189_339801,,"Nowa Wieś Szlachecka Jesionka (nż)","",50.026639,19.680942,,,0,,,
stop_2189_339802,,"Nowa Wieś Szlachecka Jesionka (nż)","",50.026668,19.681173,,,0,,,
stop_2190_339901,,"Przeginia Duchowna Remiza","",50.022392,19.651929,,,0,,,
stop_2190_339902,,"Przeginia Duchowna Remiza","",50.022483,19.651908,,,0,,,
stop_2191_340001,,"Przeginia Narodowa Dwór (nż)","",50.011794,19.657628,,,0,,,
stop_2191_340002,,"Przeginia Narodowa Dwór (nż)","",50.011229,19.657549,,,0,,,
stop_2192_340101,,"Wołowice Skrzyżowanie (nż)","",49.995286,19.734538,,,0,,,
stop_2192_340102,,"Wołowice Skrzyżowanie (nż)","",49.995375,19.734058,,,0,,,
stop_2193_340201,,"Czernichów Studzienki (nż)","",49.992066,19.685482,,,0,,,
stop_2193_340202,,"Czernichów Studzienki (nż)","",49.99208,19.685268,,,0,,,
stop_2194_340301,,"Wołowice Niwka (nż)","",49.988512,19.702418,,,0,,,
stop_2194_340302,,"Wołowice Niwka (nż)","",49.988479,19.702496,,,0,,,
stop_2195_340401,,"Kamień Remiza (nż)","",50.009347,19.583957,,,0,,,
stop_2195_340402,,"Kamień Remiza (nż)","",50.009333,19.583983,,,0,,,
stop_2196_340501,,"Rusocice Granica (nż)","",50.004901,19.588291,,,0,,,
stop_2196_340502,,"Rusocice Granica (nż)","",50.005214,19.587987,,,0,,,
stop_2197_340601,,"Przeginia Narodowa Bunar (nż)","",50.00573,19.660752,,,0,,,
stop_2197_340602,,"Przeginia Narodowa Bunar (nż)","",50.005702,19.660688,,,0,,,
stop_2198_340701,,"Przeginia Duchowna Kościół (nż)","",50.019578,19.653151,,,0,,,
stop_2198_340702,,"Przeginia Duchowna Kościół (nż)","",50.018611,19.652972,,,0,,,
stop_2199_340801,,"Rączna Gołębiec (nż)","",50.01655,19.775944,,,0,,,
stop_2199_340802,,"Rączna Gołębiec (nż)","",50.015732,19.775132,,,0,,,
stop_2199_340803,,"Rączna Gołębiec (nż)","",50.01645,19.774644,,,0,,,
stop_2200_72301,,"Ukraina (nż)","",49.97548,19.94632,,,0,,,
stop_2200_72302,,"Ukraina (nż)","",49.97578,19.94578,,,0,,,
stop_2202_341301,,"Bolechowice Centrum","",50.147146,19.791689,,,0,,,
stop_2202_341302,,"Bolechowice Centrum","",50.147345,19.791369,,,0,,,
stop_2202_341303,,"Bolechowice Centrum","",50.146919,19.792152,,,0,,,
stop_2202_341304,,"Bolechowice Centrum","",50.146501,19.792799,,,0,,,
stop_2203_341401,,"Burów Balica (nż)","",50.093851,19.773963,,,0,,,
stop_2203_341402,,"Burów Balica (nż)","",50.093464,19.774538,,,0,,,
stop_2204_341501,,"Balice Remiza (nż)","",50.086799,19.790985,,,0,,,
stop_2204_341502,,"Balice Remiza (nż)","",50.086703,19.791232,,,0,,,
stop_2205_341601,,"Więckowice Ogrodowa (nż)","",50.137862,19.769798,,,0,,,
stop_2205_341602,,"Więckowice Ogrodowa (nż)","",50.137568,19.770155,,,0,,,
stop_2206_341701,,"Brzezinka Kościół","",50.137944,19.738607,,,0,,,
stop_2206_341702,,"Brzezinka Kościół","",50.138161,19.738943,,,0,,,
stop_2207_341801,,"Rudawa Osiedle (nż)","",50.127314,19.720984,,,0,,,
stop_2207_341802,,"Rudawa Osiedle (nż)","",50.12706,19.720891,,,0,,,
stop_2208_341901,,"Rudawa Rynek","",50.12259,19.711631,,,0,,,
stop_2208_341991,,"Rudawa Rynek","",50.122581,19.711662,,,0,,,
stop_2209_342001,,"Pisary Spacerowa (nż)","",50.134738,19.692916,,,0,,,
stop_2209_342002,,"Pisary Spacerowa (nż)","",50.135116,19.692887,,,0,,,
stop_2210_342101,,"Pisary Akacjowa (nż)","",50.125584,19.696737,,,0,,,
stop_2210_342102,,"Pisary Akacjowa (nż)","",50.125672,19.696965,,,0,,,
stop_2211_342201,,"Pisary Mleczna (nż)","",50.124676,19.702074,,,0,,,
stop_2211_342202,,"Pisary Mleczna (nż)","",50.124719,19.702162,,,0,,,
stop_2212_342301,,"Kleszczów Centrum","",50.104931,19.748884,,,0,,,
stop_2213_342401,,"Nielepice Pętla","",50.106682,19.709545,,,0,,,
stop_2214_341201,,"Domagały Magazyny (nż)","",50.0281,20.05143,,,0,,,
stop_2214_341202,,"Domagały Magazyny (nż)","",50.029,20.05175,,,0,,,
stop_2215_342601,,"Wrząsowice Bonifraterska (nż)","",49.948065,19.946982,,,0,,,
stop_2215_342602,,"Wrząsowice Bonifraterska (nż)","",49.947299,19.946729,,,0,,,
stop_2222_342701,,"Wolica Szkoła (nż)","",50.055813,20.193116,,,0,,,
